# Standard Model thermodynamics at O(g^4) [1503.04935]                                                    
#   Disclaimer: We do not recommend taking numerical derivatives from any of the functions, but rather    
#   directly using the derivative functions listed.  Theoretical errors are on the ~ 1% level.            
# Update Dec 2019                                    
#   The decoupling of neutrinos at T < 2 MeV has been incorporated into the results.                      
# Columns:                                           
    T[MeV]    p/T^4    e/T^4    s/T^3    c/T^3    w=p/e    c_s^2    g_eff    h_eff    i_eff
    0.12944444E+03    0.19409949E+01    0.68600941E+01    0.88010890E+01    0.34285099E+02    0.28293998E+00    0.25670304E+00    0.20852186E+02    0.20064077E+02    0.26053551E+02
    0.13150000E+03    0.19578107E+01    0.69717980E+01    0.89296087E+01    0.35228412E+02    0.28081862E+00    0.25347747E+00    0.21191725E+02    0.20357067E+02    0.26770383E+02
    0.13355556E+03    0.19753469E+01    0.70897029E+01    0.90650497E+01    0.36226757E+02    0.27862195E+00    0.25023079E+00    0.21550113E+02    0.20665835E+02    0.27529034E+02
    0.13561111E+03    0.19936443E+01    0.72140882E+01    0.92077325E+01    0.37282186E+02    0.27635430E+00    0.24697405E+00    0.21928199E+02    0.20991113E+02    0.28331064E+02
    0.13766667E+03    0.20127444E+01    0.73452349E+01    0.93579793E+01    0.38396755E+02    0.27402043E+00    0.24371797E+00    0.22326837E+02    0.21333635E+02    0.29178035E+02
    0.13972222E+03    0.20326891E+01    0.74834238E+01    0.95161129E+01    0.39572367E+02    0.27162554E+00    0.24047368E+00    0.22746881E+02    0.21694136E+02    0.30071393E+02
    0.14177778E+03    0.20535206E+01    0.76289383E+01    0.96824588E+01    0.40811358E+02    0.26917514E+00    0.23724912E+00    0.23189192E+02    0.22073359E+02    0.31012913E+02
    0.14383333E+03    0.20752816E+01    0.77820532E+01    0.98573348E+01    0.42114147E+02    0.26667534E+00    0.23406232E+00    0.23654605E+02    0.22472029E+02    0.32002914E+02
    0.14588889E+03    0.20980153E+01    0.79430710E+01    0.10041086E+02    0.43488293E+02    0.26413151E+00    0.23089171E+00    0.24144041E+02    0.22890932E+02    0.33047140E+02
    0.14794444E+03    0.21217649E+01    0.81121839E+01    0.10233949E+02    0.44913728E+02    0.26155286E+00    0.22785793E+00    0.24658082E+02    0.23330606E+02    0.34130341E+02
    0.15000000E+03    0.21465740E+01    0.82899912E+01    0.10436565E+02    0.46475929E+02    0.25893561E+00    0.22455851E+00    0.25198552E+02    0.23792516E+02    0.35317471E+02
    0.16000000E+03    0.22838102E+01    0.92963417E+01    0.11580152E+02    0.54937234E+02    0.24566762E+00    0.21078877E+00    0.28257490E+02    0.26399581E+02    0.41747292E+02
    0.17000000E+03    0.24521879E+01    0.10525450E+02    0.12977638E+02    0.65197176E+02    0.23297701E+00    0.19905215E+00    0.31993532E+02    0.29585467E+02    0.49543913E+02
    0.18000000E+03    0.26566203E+01    0.12015797E+02    0.14672418E+02    0.77428405E+02    0.22109397E+00    0.18949658E+00    0.36523645E+02    0.33449102E+02    0.58838532E+02
    0.19000000E+03    0.29017364E+01    0.13788749E+02    0.16690485E+02    0.91689888E+02    0.21044233E+00    0.18203190E+00    0.41912770E+02    0.38049743E+02    0.69675960E+02
    0.20000000E+03    0.31917298E+01    0.15258490E+02    0.18450219E+02    0.79104450E+02    0.20917731E+00    0.23323870E+00    0.46380247E+02    0.42061456E+02    0.60112173E+02
    0.21000000E+03    0.34700664E+01    0.16032247E+02    0.19502314E+02    0.77250294E+02    0.21644292E+00    0.25245617E+00    0.48732188E+02    0.44459944E+02    0.58703184E+02
    0.22000000E+03    0.37271629E+01    0.16472044E+02    0.20199207E+02    0.70965379E+02    0.22627204E+00    0.28463466E+00    0.50069009E+02    0.46048669E+02    0.53927221E+02
    0.23000000E+03    0.39510259E+01    0.16690343E+02    0.20641369E+02    0.71777542E+02    0.23672527E+00    0.28757419E+00    0.50732558E+02    0.47056678E+02    0.54544392E+02
    0.24000000E+03    0.41477946E+01    0.16898847E+02    0.21046642E+02    0.72601927E+02    0.24544838E+00    0.28989096E+00    0.51366336E+02    0.47980590E+02    0.55170849E+02
    0.25000000E+03    0.43223145E+01    0.17100062E+02    0.21422376E+02    0.73438752E+02    0.25276602E+00    0.29170398E+00    0.51977955E+02    0.48837162E+02    0.55806760E+02
    0.26000000E+03    0.44784441E+01    0.17295867E+02    0.21774311E+02    0.74286231E+02    0.25893147E+00    0.29311368E+00    0.52573130E+02    0.49639476E+02    0.56450766E+02
    0.27000000E+03    0.46192787E+01    0.17487625E+02    0.22106904E+02    0.75141363E+02    0.26414558E+00    0.29420419E+00    0.53156005E+02    0.50397697E+02    0.57100589E+02
    0.28000000E+03    0.47473173E+01    0.17676285E+02    0.22423602E+02    0.76000555E+02    0.26856986E+00    0.29504524E+00    0.53729463E+02    0.51119683E+02    0.57753497E+02
    0.29000000E+03    0.48645882E+01    0.17862470E+02    0.22727058E+02    0.76859990E+02    0.27233570E+00    0.29569426E+00    0.54295397E+02    0.51811479E+02    0.58406589E+02
    0.30000000E+03    0.49727453E+01    0.18040415E+02    0.23013160E+02    0.77700789E+02    0.27564473E+00    0.29617666E+00    0.54836285E+02    0.52463713E+02    0.59045520E+02
    0.30200000E+03    0.49934068E+01    0.18077219E+02    0.23070625E+02    0.77848880E+02    0.27622650E+00    0.29635141E+00    0.54948155E+02    0.52594719E+02    0.59158055E+02
    0.30204713E+03    0.49938900E+01    0.18078090E+02    0.23071980E+02    0.77938696E+02    0.27623992E+00    0.29602727E+00    0.54950803E+02    0.52597807E+02    0.59226307E+02
    0.30209648E+03    0.49943958E+01    0.18078994E+02    0.23073390E+02    0.77757505E+02    0.27625408E+00    0.29673521E+00    0.54953552E+02    0.52601021E+02    0.59088618E+02
